id,sku,name_en,name_ar,category,price,stock_quantity,description_en,description_ar,image_url,barcode,expiry_date,is_active
14,SUP-00014,Centrum Men,سنتروم رجال,Supplements,420.0,66,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622175103965.0,2027-07-02,1.0
15,MED-00015,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,101,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622867208548.0,2027-08-19,1.0
16,MED-00016,Panadol Extra,بانادول إكسترا,Medicine,45.0,197,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622137878656.0,2027-02-05,1.0
17,MED-00017,Cataflam 50mg,كاتافلام 50 مجم,Must Haves,38.5,181,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622658715707.0,2026-06-29,1.0
18,COS-00018,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,197,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622992573417.0,2027-05-23,1.0
19,SUP-00019,Centrum Men,سنتروم رجال,Supplements,420.0,125,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622542469015.0,2026-07-01,1.0
20,MED-00020,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,50,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622869107224.0,2026-11-21,1.0
21,MED-00021,Panadol Extra,بانادول إكسترا,Medicine,45.0,117,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622767217180.0,2025-12-20,1.0
22,MED-00022,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,153,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622856877694.0,2027-03-27,1.0
23,COS-00023,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,103,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622796446071.0,2026-03-31,1.0
24,SUP-00024,Centrum Men,سنتروم رجال,Supplements,420.0,197,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622557637497.0,2027-05-19,1.0
25,MED-00025,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,65,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622276649674.0,2026-12-27,1.0
26,MED-00026,Panadol Extra,بانادول إكسترا,Medicine,45.0,104,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622723516071.0,2027-02-23,1.0
27,MED-00027,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,77,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,62240378426.0,2027-04-12,1.0
28,COS-00028,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,92,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622388306694.0,2026-03-27,1.0
29,SUP-00029,Centrum Men,سنتروم رجال,Supplements,420.0,176,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622842576396.0,2026-01-31,1.0
30,MED-00030,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,174,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622852087988.0,2026-02-03,1.0
31,MED-00031,Panadol Extra,بانادول إكسترا,Medicine,45.0,23,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622506091180.0,2027-02-27,1.0
32,MED-00032,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,56,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622559621381.0,2027-07-19,1.0
33,COS-00033,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,116,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622430986545.0,2026-09-23,1.0
34,SUP-00034,Centrum Men,سنتروم رجال,Supplements,420.0,172,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622321495520.0,2026-08-23,1.0
35,MED-00035,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,69,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,62228984218.0,2027-02-01,1.0
36,MED-00036,Panadol Extra,بانادول إكسترا,Medicine,45.0,33,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,62269350199.0,2026-11-01,1.0
37,MED-00037,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,93,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622166284339.0,2026-08-17,1.0
38,COS-00038,Nivea Soft Cream,نيفيا سوفت كريم,Skin Care,85.0,188,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622847244795.0,2026-01-09,1.0
39,SUP-00039,Centrum Men,سنتروم رجال,Supplements,420.0,173,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622378099402.0,2026-06-23,1.0
40,MED-00040,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,28,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622861900890.0,2027-01-10,1.0
41,MED-00041,Panadol Extra,بانادول إكسترا,Medicine,45.0,107,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622259273333.0,2027-11-19,1.0
42,MED-00042,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,119,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622442914258.0,2025-12-26,1.0
43,COS-00043,Nivea Soft Cream,نيفيا سوفت كريم,Skin Care,85.0,75,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622565768120.0,2026-10-09,1.0
44,SUP-00044,Centrum Men,سنتروم رجال,Supplements,420.0,18,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622966923304.0,2026-12-24,1.0
45,MED-00045,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,60,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622738260206.0,2026-03-25,1.0
46,MED-00046,Panadol Extra,بانادول إكسترا,Medicine,45.0,159,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622108421920.0,2027-08-07,1.0
47,MED-00047,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,186,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622775986793.0,2027-09-25,1.0
48,COS-00048,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,182,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622731292692.0,2027-01-30,1.0
49,SUP-00049,Centrum Men,سنتروم رجال,Supplements,420.0,175,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,62271981241.0,2027-04-03,1.0
50,MED-00050,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,51,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622570401965.0,2026-08-25,1.0
51,MED-00051,Panadol Extra,بانادول إكسترا,Medicine,45.0,59,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622922712415.0,2027-06-12,1.0
52,MED-00052,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,133,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,62215305690.0,2026-06-22,1.0
53,COS-00053,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,70,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622427572547.0,2027-06-09,1.0
54,SUP-00054,Centrum Men,سنتروم رجال,Supplements,420.0,24,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622205187192.0,2027-08-22,1.0
55,MED-00055,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,133,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622879000504.0,2025-11-23,1.0
56,MED-00056,Panadol Extra,بانادول إكسترا,Medicine,45.0,70,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622152550040.0,2025-12-17,1.0
57,MED-00057,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,142,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622963174377.0,2026-03-17,1.0
58,COS-00058,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,2,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622897729254.0,2027-03-27,1.0
59,SUP-00059,Centrum Men,سنتروم رجال,Supplements,420.0,8,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622963944830.0,2027-07-24,1.0
60,MED-00060,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,165,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622578849264.0,2027-03-09,1.0
61,MED-00061,Panadol Extra,بانادول إكسترا,Medicine,45.0,172,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622175541321.0,2027-09-20,1.0
62,MED-00062,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,10,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622179207061.0,2025-12-01,1.0
63,COS-00063,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,125,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622923304833.0,2027-02-06,1.0
64,SUP-00064,Centrum Men,سنتروم رجال,Supplements,420.0,66,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622433039144.0,2027-03-29,1.0
65,MED-00065,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,57,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622524361537.0,2026-09-13,1.0
66,MED-00066,Panadol Extra,بانادول إكسترا,Medicine,45.0,98,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,62273759321.0,2026-03-08,1.0
67,MED-00067,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,79,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622773489537.0,2026-12-14,1.0
68,COS-00068,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,157,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622873239818.0,2027-09-18,1.0
69,SUP-00069,Centrum Men,سنتروم رجال,Supplements,420.0,186,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622232428459.0,2026-11-02,1.0
70,MED-00070,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,92,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622144974012.0,2027-05-06,1.0
71,MED-00071,Panadol Extra,بانادول إكسترا,Medicine,45.0,54,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622333806951.0,2027-01-19,1.0
72,MED-00072,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,165,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622665015687.0,2027-01-13,1.0
73,COS-00073,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,8,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622505661856.0,2026-05-20,1.0
74,SUP-00074,Centrum Men,سنتروم رجال,Supplements,420.0,113,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622443860038.0,2026-04-27,1.0
75,MED-00075,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,47,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622244079257.0,2027-06-04,1.0
76,MED-00076,Panadol Extra,بانادول إكسترا,Medicine,45.0,86,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,62214620025.0,2027-11-03,1.0
77,MED-00077,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,148,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622529824465.0,2026-04-24,1.0
78,COS-00078,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,177,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,62217189242.0,2026-06-05,1.0
79,SUP-00079,Centrum Men,سنتروم رجال,Supplements,420.0,24,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,6228433979.0,2026-04-16,1.0
80,MED-00080,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,174,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622602425034.0,2026-01-16,1.0
81,MED-00081,Panadol Extra,بانادول إكسترا,Medicine,45.0,72,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622537535521.0,2027-05-30,1.0
82,MED-00082,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,9,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622782600286.0,2026-05-22,1.0
83,COS-00083,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,161,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622843141454.0,2026-06-23,1.0
84,SUP-00084,Centrum Men,سنتروم رجال,Supplements,420.0,35,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622768516616.0,2026-07-19,1.0
85,MED-00085,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,169,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622350861767.0,2027-01-10,1.0
86,MED-00086,Panadol Extra,بانادول إكسترا,Medicine,45.0,114,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622281189354.0,2027-04-18,1.0
87,MED-00087,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,19,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622647693757.0,2027-03-19,1.0
88,COS-00088,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,61,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,62261311949.0,2027-06-06,1.0
89,SUP-00089,Centrum Men,سنتروم رجال,Supplements,420.0,97,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622183208893.0,2026-06-28,1.0
90,MED-00090,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,102,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622865487584.0,2027-06-05,1.0
91,MED-00091,Panadol Extra,بانادول إكسترا,Medicine,45.0,106,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622892384846.0,2027-04-16,1.0
92,MED-00092,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,61,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622414414953.0,2026-05-01,1.0
93,COS-00093,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,44,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,6224566073.0,2027-02-26,1.0
94,SUP-00094,Centrum Men,سنتروم رجال,Supplements,420.0,83,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622882978101.0,2027-02-20,1.0
95,MED-00095,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,17,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622684402000.0,2026-10-14,1.0
96,MED-00096,Panadol Extra,بانادول إكسترا,Medicine,45.0,140,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622661945630.0,2026-11-02,1.0
97,MED-00097,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,63,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622661681474.0,2027-08-03,1.0
98,COS-00098,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,119,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622800035423.0,2027-01-11,1.0
99,SUP-00099,Centrum Men,سنتروم رجال,Supplements,420.0,88,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622481676054.0,2027-10-28,1.0
100,MED-00100,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,43,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622516191037.0,2027-02-24,1.0
101,MED-00101,Panadol Extra,بانادول إكسترا,Medicine,45.0,102,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622367975531.0,2026-07-21,1.0
102,MED-00102,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,32,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622640122755.0,2027-07-26,1.0
103,COS-00103,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,135,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,62234074956.0,2027-08-06,1.0
104,SUP-00104,Centrum Men,سنتروم رجال,Supplements,420.0,175,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622498325022.0,2026-11-02,1.0
105,MED-00105,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,102,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622226224036.0,2026-08-22,1.0
106,MED-00106,Panadol Extra,بانادول إكسترا,Medicine,45.0,146,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622676623497.0,2026-01-31,1.0
107,MED-00107,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,8,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622310735388.0,2027-10-16,1.0
108,COS-00108,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,111,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,62289043071.0,2027-07-18,1.0
109,SUP-00109,Centrum Men,سنتروم رجال,Supplements,420.0,1,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622233679284.0,2027-03-19,1.0
110,MED-00110,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,180,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622495777629.0,2026-03-12,1.0
111,MED-00111,Panadol Extra,بانادول إكسترا,Medicine,45.0,150,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622469720213.0,2026-01-14,1.0
112,MED-00112,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,186,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622288734878.0,2027-10-16,1.0
113,COS-00113,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,29,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622635311300.0,2027-02-01,1.0
114,SUP-00114,Centrum Men,سنتروم رجال,Supplements,420.0,147,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622416981853.0,2027-08-02,1.0
115,MED-00115,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,35,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622704935581.0,2027-02-04,1.0
116,MED-00116,Panadol Extra,بانادول إكسترا,Medicine,45.0,81,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622218549820.0,2027-05-29,1.0
117,MED-00117,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,94,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,62248627938.0,2027-09-19,1.0
118,COS-00118,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,160,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622701476048.0,2027-03-29,1.0
119,SUP-00119,Centrum Men,سنتروم رجال,Supplements,420.0,146,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,62298149065.0,2027-11-07,1.0
120,MED-00120,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,128,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622519836050.0,2027-11-12,1.0
121,MED-00121,Panadol Extra,بانادول إكسترا,Medicine,45.0,17,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622979053504.0,2026-04-16,1.0
122,MED-00122,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,52,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,62252763401.0,2026-11-05,1.0
123,COS-00123,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,191,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622317230805.0,2026-10-13,1.0
124,SUP-00124,Centrum Men,سنتروم رجال,Supplements,420.0,97,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,62235744431.0,2026-05-25,1.0
125,MED-00125,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,58,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622871472458.0,2027-10-19,1.0
126,MED-00126,Panadol Extra,بانادول إكسترا,Medicine,45.0,11,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622633130353.0,2026-12-02,1.0
127,MED-00127,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,192,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622872335751.0,2026-08-30,1.0
